1D 32 -1536,000000 96768,000000	[nbin xmin xmax]
"X"	"Function_0"
0,000000	3,015825
3072,000000	21,467344
6144,000000	41,312734
9216,000000	61,202188
12288,000000	82,111461
15360,000000	101,155469
18432,000000	119,357578
21504,000000	138,141484
24576,000000	157,477734
27648,000000	174,177734
30720,000000	192,074297
33792,000000	208,884375
36864,000000	225,493203
39936,000000	241,575859
43008,000000	256,267500
46080,000000	271,190937
49152,000000	285,472500
52224,000000	298,701094
55296,000000	311,541562
58368,000000	323,999922
61440,000000	335,984922
64512,000000	347,408906
67584,000000	358,508906
70656,000000	368,971328
73728,000000	379,041328
76800,000000	387,419922
79872,000000	396,779297
82944,000000	405,158125
86016,000000	412,367734
89088,000000	419,591797
92160,000000	425,928125
95232,000000	432,625781
