1D 50 0,000000 100,000000	[nbin xmin xmax]
"X"	"Function_0"
1,000000	65,964907
3,000000	124,127074
5,000000	130,205000
7,000000	118,801565
9,000000	121,086130
11,000000	118,856251
13,000000	115,549826
15,000000	114,325396
17,000000	112,794374
19,000000	108,249086
21,000000	106,857377
23,000000	101,658365
25,000000	101,369691
27,000000	98,160901
29,000000	95,999721
31,000000	101,864998
33,000000	88,179413
35,000000	92,784693
37,000000	88,630652
39,000000	85,130021
41,000000	86,981243
43,000000	80,470898
45,000000	85,270058
47,000000	78,237573
49,000000	80,467466
51,000000	75,068665
53,000000	72,523315
55,000000	75,774016
57,000000	70,126232
59,000000	69,782781
61,000000	69,633356
63,000000	65,744340
65,000000	65,635516
67,000000	64,249832
69,000000	61,392725
71,000000	64,557944
73,000000	59,929956
75,000000	60,779501
77,000000	57,358711
79,000000	56,856873
81,000000	59,009578
83,000000	52,591985
85,000000	55,428231
87,000000	52,294674
89,000000	51,907653
91,000000	50,842619
93,000000	47,192263
95,000000	48,686181
97,000000	47,419558
99,000000	45,774330
