1D 128 0,000000 128,000000	[nbin xmin xmax]
"X"	"Function_0"
0,500000	12,091001
1,500000	10,754659
2,500000	10,633029
3,500000	11,279723
4,500000	10,352395
5,500000	10,560776
6,500000	9,839371
7,500000	10,543543
8,500000	11,363061
9,500000	10,930385
10,500000	9,902995
11,500000	10,280122
12,500000	10,638162
13,500000	10,569675
14,500000	11,120934
15,500000	11,257105
16,500000	10,468318
17,500000	11,295410
18,500000	10,023660
19,500000	10,009632
20,500000	10,736422
21,500000	10,279245
22,500000	9,749862
23,500000	9,569271
24,500000	9,300065
25,500000	10,185378
26,500000	9,600649
27,500000	9,856161
28,500000	10,063197
29,500000	10,253121
30,500000	10,115934
31,500000	10,118080
32,500000	10,591809
33,500000	10,791739
34,500000	10,815651
35,500000	11,421756
36,500000	10,103766
37,500000	10,338575
38,500000	10,234360
39,500000	10,473244
40,500000	10,327557
41,500000	10,249589
42,500000	9,443380
43,500000	10,681841
44,500000	9,971108
45,500000	9,946749
46,500000	10,651521
47,500000	11,098186
48,500000	10,050420
49,500000	10,520902
50,500000	9,563225
51,500000	10,563996
52,500000	9,605346
53,500000	9,765741
54,500000	11,863962
55,500000	10,150342
56,500000	10,602322
57,500000	10,862592
58,500000	9,487192
59,500000	9,858327
60,500000	9,898376
61,500000	10,339355
62,500000	10,174460
63,500000	10,143838
64,500000	10,168744
65,500000	9,532639
66,500000	9,465061
67,500000	10,609774
68,500000	10,648225
69,500000	10,431116
70,500000	9,690055
71,500000	11,084466
72,500000	10,052133
73,500000	10,308998
74,500000	10,259379
75,500000	10,725436
76,500000	9,425332
77,500000	10,086783
78,500000	9,700754
79,500000	10,159671
80,500000	10,429133
81,500000	9,974132
82,500000	9,971390
83,500000	9,953085
84,500000	10,786143
85,500000	10,265674
86,500000	10,657385
87,500000	10,370271
88,500000	11,230755
89,500000	9,900242
90,500000	10,089830
91,500000	9,687232
92,500000	10,540803
93,500000	10,711232
94,500000	10,058563
95,500000	9,849515
96,500000	10,126754
97,500000	10,641290
98,500000	10,335293
99,500000	10,404107
100,500000	10,421381
101,500000	10,118575
102,500000	10,065907
103,500000	10,731085
104,500000	10,304800
105,500000	9,635500
106,500000	9,931775
107,500000	10,558783
108,500000	10,834155
109,500000	10,050079
110,500000	9,713998
111,500000	9,959127
112,500000	10,714782
113,500000	10,666932
114,500000	10,514122
115,500000	9,924922
116,500000	10,026460
117,500000	10,426726
118,500000	10,202888
119,500000	10,441641
120,500000	10,339994
121,500000	10,307605
122,500000	10,224473
123,500000	10,692437
124,500000	9,959542
125,500000	11,416730
126,500000	11,065377
127,500000	11,302096
